ntacode,ntaname,Outdooor_Heat_Vulnerability_Index
SI32,Rossville-Woodrow,2
SI48,Arden Heights,2.2
QN15,Far Rockaway-Bayswater,3.2
BX09,Soundview-Castle Hill-Clason Point-Harding Park,3.2
BX99,park-cemetery-etc-Bronx,1.8
BK33,Carroll Gardens-Columbia Street-Red Hook,3
MN99,park-cemetery-etc-Manhattan,1.6
QN05,Rosedale,3
QN22,Flushing,3.6
QN62,Queensboro Hill,3
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3.8
MN21,Gramercy,3.6
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3
BK69,Clinton Hill,2.2
BK72,Williamsburg,3.4
BK99,park-cemetery-etc-Brooklyn,2.4
MN36,Washington Heights South,2.2
BX26,Highbridge,2.8
BX63,West Concourse,3.8
QN17,Forest Hills,2.2
QN99,park-cemetery-etc-Queens,1.8
QN03,Springfield Gardens South-Brookville,4
QN98,Airport,4
